Date,Price,Open,High,Low,Chg%
"Dec 11, 2019",37699,37580,37738,37520,0.34%
"Dec 12, 2019",37544,37770,38068,37470,-0.41%
"Dec 13, 2019",37773,37466,37840,37466,0.61%
"Dec 16, 2019",37871,37725,37967,37725,0.26%
"Dec 17, 2019",37940,37869,37980,37845,0.18%
"Dec 18, 2019",37912,37959,37995,37802,-0.07%
"Dec 19, 2019",38109,37959,38130,37860,0.52%
"Dec 20, 2019",37991,38040,38120,37951,-0.31%
"Dec 23, 2019",38257,38040,38287,38040,0.70%
"Dec 24, 2019",38639,38330,38667,38292,1.00%
"Dec 26, 2019",38882,38635,38948,38635,0.63%
"Dec 27, 2019",39080,38930,39095,38787,0.51%
"Dec 30, 2019",38971,39067,39090,38904,-0.28%
"Dec 31, 2019",39108,39053,39270,39011,0.35%
"Jan 01, 2020",39067,39108,39113,38957,-0.10%
"Jan 02, 2020",39277,39051,39400,39041,0.54%
"Jan 03, 2020",40112,39500,40143,39500,2.13%
"Jan 06, 2020",40472,40250,41096,40250,0.90%
"Jan 07, 2020",40663,40350,40693,40203,0.47%
"Jan 08, 2020",40110,40946,41293,39922,-1.36%
"Jan 09, 2020",39830,40036,40144,39610,-0.70%
"Jan 10, 2020",39871,39718,39913,39568,0.10%
"Jan 13, 2020",39546,39722,39801,39523,-0.82%
"Jan 14, 2020",39447,39500,39530,39262,-0.25%
"Jan 15, 2020",39611,39646,39708,39477,0.42%
"Jan 16, 2020",39686,39655,39775,39588,0.19%
"Jan 17, 2020",39946,39730,39983,39702,0.66%
"Jan 20, 2020",39947,39900,40000,39880,0.00%
"Jan 21, 2020",39911,40090,40176,39675,-0.09%
"Jan 22, 2020",39913,39817,39974,39752,0.01%
"Jan 23, 2020",40283,39904,40311,39836,0.93%
"Jan 24, 2020",40352,40214,40440,39951,0.17%
"Jan 27, 2020",40585,40500,40810,40480,0.58%
"Jan 28, 2020",40242,40562,40608,40156,-0.85%
"Jan 29, 2020",40350,40111,40458,40066,0.27%
"Jan 30, 2020",40975,40486,41068,40472,1.55%
"Jan 31, 2020",41000,41014,41145,40571,0.06%
"Feb 01, 2020",41206,41035,41297,40820,0.50%
"Feb 03, 2020",40661,41011,41050,40371,-1.32%
"Feb 04, 2020",40302,40408,40500,40112,-0.88%
"Feb 05, 2020",40175,40201,40280,40000,-0.32%
"Feb 06, 2020",40351,40081,40421,40030,0.44%
"Feb 07, 2020",40644,40393,40724,40302,0.73%
"Feb 10, 2020",40679,40566,40715,40514,0.09%
"Feb 11, 2020",40410,40566,40577,40300,-0.66%
"Feb 12, 2020",40484,40431,40549,40306,0.18%
"Feb 13, 2020",40656,40551,40700,40513,0.42%
"Feb 14, 2020",40979,40601,41010,40573,0.79%
"Feb 17, 2020",40756,40889,40925,40720,-0.54%
"Feb 18, 2020",41420,40900,41480,40900,1.63%
"Feb 19, 2020",41586,41408,41619,41350,0.40%
"Feb 20, 2020",42039,41651,42158,41500,1.09%
"Feb 21, 2020",42666,42210,42790,42210,1.49%
"Feb 24, 2020",43580,42932,43788,42932,2.14%
"Feb 25, 2020",42788,43176,43176,42371,-1.82%
"Feb 26, 2020",42504,42536,42854,42100,-0.66%
"Feb 27, 2020",42385,42640,42976,42322,-0.28%
"Feb 28, 2020",41397,42670,42747,41275,-2.33%
"Mar 02, 2020",41956,41738,42343,41646,1.35%
"Mar 03, 2020",43474,41927,43517,41873,3.62%
"Mar 04, 2020",43569,43357,43778,43293,0.22%
"Mar 05, 2020",44458,43504,44503,43243,2.04%
"Mar 06, 2020",44158,44574,44961,43432,-0.67%
"Mar 09, 2020",44353,44575,44772,43851,0.44%
"Mar 10, 2020",43740,43836,43941,43530,-1.38%
"Mar 11, 2020",43355,43744,43875,43275,-0.88%
"Mar 12, 2020",42206,43302,43637,41567,-2.65%
"Mar 13, 2020",40348,41750,42070,40055,-4.40%
"Mar 16, 2020",39518,40982,41199,38400,-2.06%
"Mar 17, 2020",40244,39489,40934,38650,1.84%
"Mar 18, 2020",39723,40127,40447,39318,-1.29%
"Mar 19, 2020",39831,39307,40099,39052,0.27%
"Mar 20, 2020",40358,39900,40948,39838,1.32%
"Mar 23, 2020",41163,40721,41310,39765,1.99%
"Mar 24, 2020",41379,42184,42184,39929,0.52%
"Mar 25, 2020",42217,41379,42785,40811,2.03%
"Mar 26, 2020",43542,42001,44535,41430,3.14%
"Mar 27, 2020",43571,42800,43760,42800,0.07%
"Mar 30, 2020",43842,43450,44190,43212,0.62%
"Mar 31, 2020",43255,43799,43840,43130,-1.34%
"Apr 01, 2020",43357,43261,43550,43080,0.24%
"Apr 03, 2020",43953,44657,45800,43650,1.37%
"Apr 07, 2020",45081,44000,45724,44000,2.57%
"Apr 08, 2020",44941,44777,45036,44686,-0.31%
"Apr 09, 2020",45294,44838,45327,44838,0.79%
"Apr 13, 2020",46286,45800,46385,45622,2.19%
"Apr 15, 2020",46710,46445,46785,46060,0.92%
"Apr 16, 2020",47258,46600,47327,46526,1.17%
"Apr 17, 2020",45735,46700,46700,45614,-3.22%
"Apr 20, 2020",45714,45465,45795,45310,-0.05%
"Apr 21, 2020",45325,45825,46289,45050,-0.85%
"Apr 22, 2020",46167,45768,46245,45560,1.86%
"Apr 23, 2020",46427,46280,46733,46166,0.56%
"Apr 24, 2020",46527,46322,46900,46110,0.22%
"Apr 27, 2020",46191,46511,46650,46125,-0.72%
"Apr 28, 2020",46066,46000,46133,45576,-0.27%
"Apr 29, 2020",45546,45925,46177,45460,-1.13%
"Apr 30, 2020",44906,45801,45940,44740,-1.41%
"May 01, 2020",45527,45008,45600,44750,1.38%
"May 04, 2020",45807,45565,45978,45461,0.62%
"May 05, 2020",45751,45527,45784,45311,-0.12%
"May 06, 2020",45371,45641,45848,45320,-0.83%
"May 07, 2020",46161,45430,46209,45340,1.74%
"May 08, 2020",45812,46377,46377,45755,-0.76%
"May 11, 2020",45781,45801,45960,45590,-0.07%
"May 12, 2020",45625,45878,45970,45544,-0.34%
"May 13, 2020",45981,45613,46090,45501,0.78%
"May 14, 2020",46654,46062,46795,46062,1.46%
"May 15, 2020",47381,46711,47462,46641,1.56%
"May 18, 2020",46655,47659,47980,46559,-1.53%
"May 19, 2020",47050,46802,47181,46481,0.85%
"May 20, 2020",47131,47181,47354,46800,0.17%
"May 21, 2020",46388,47050,47050,46241,-1.58%
"May 22, 2020",47056,46466,47130,46464,1.44%
"May 25, 2020",46973,46808,47050,46650,-0.18%
"May 26, 2020",46322,47049,47150,46257,-1.39%
"May 27, 2020",46531,46307,46570,45775,0.45%
"May 28, 2020",46405,46444,46860,46288,-0.27%
"May 29, 2020",46654,46523,46868,46394,0.54%
"Jun 01, 2020",47083,46571,47300,46520,0.92%
"Jun 02, 2020",46796,47170,47200,46600,-0.61%
"Jun 03, 2020",46099,46700,46700,45900,-1.49%
"Jun 04, 2020",46727,46599,46904,46599,1.36%
"Jun 05, 2020",46526,46750,46750,46301,-0.43%
"Jun 08, 2020",46101,45793,46160,45748,-0.91%
"Jun 09, 2020",46594,46075,46737,45950,1.07%
"Jun 10, 2020",46626,46602,46949,46554,0.07%
"Jun 11, 2020",47414,46750,47680,46750,1.69%
"Jun 12, 2020",47334,47150,47550,47065,-0.17%
"Jun 15, 2020",47026,47199,47246,46546,-0.65%
"Jun 16, 2020",47567,47180,47650,46960,1.15%
"Jun 17, 2020",47338,47450,47483,46967,-0.48%
"Jun 18, 2020",47355,47301,47619,47110,0.04%
"Jun 19, 2020",47937,47399,47980,47328,1.23%
"Jun 22, 2020",47944,48000,48289,47792,0.01%
"Jun 23, 2020",48232,47864,48272,47731,0.60%
"Jun 24, 2020",48134,48333,48589,48035,-0.20%
"Jun 25, 2020",47941,48114,48173,47823,-0.40%
"Jun 26, 2020",48305,47902,48348,47700,0.76%
"Jun 29, 2020",48244,48365,48462,48150,-0.13%
"Jun 30, 2020",48762,48270,48825,48180,1.07%
"Jul 01, 2020",48267,48814,48982,48051,-1.02%
"Jul 02, 2020",48158,48174,48273,47606,-0.23%
"Jul 03, 2020",48046,48053,48190,47950,-0.23%
